,year,population_access_to_electricity,access_to_clean_fuels_for_cooking,re_share_in_total_ec_in_percentage,electricity_from_renewables_twh,lowcarbon_electricity,primary_energy_consumption_per_capita_kwhperson,gdp_growth,gdp_per_capita,country_id
0,2000,1.613591,6.2,44.99,0.31,65.95744,302.59482,3.441610056684874,13283.77434796745,1
1,2001,4.074574,7.2,45.6,0.5,84.745766,236.89185,3.441610056684874,13283.77434796745,1
2,2002,9.409158,8.2,37.83,0.56,81.159424,210.86215,3.441610056684874,179.4265792,1
3,2003,14.738506,9.5,36.66,0.63,67.02128,229.96822,8.832277813,190.6838143,1
4,2004,20.064968,10.9,44.24,0.56,62.92135,204.23125,1.414117981,211.3820742,1
5,2005,25.390894,12.2,33.88,0.59,63.440857,252.06912,11.22971482,242.0313132,1
6,2006,30.71869,13.85,31.89,0.64,76.190475,304.4209,5.357403251,263.7336019,1
7,2007,36.05101,15.3,28.78,0.75,78.94737,354.2799,13.82631955,359.6931579,1
8,2008,42.4,16.7,21.17,0.54,73.9726,607.8335,3.924983822,364.663542,1
9,2009,46.74005,18.4,16.53,0.78,82.97872,975.04816,21.39052839,437.2687402,1
10,2010,42.7,20.0,15.15,0.75,79.78723,1182.892,14.36244147,543.3065262,1
11,2011,43.22202,21.8,12.61,0.6,76.92309,1436.1143,0.426354785,591.1900302,1
12,2012,69.1,23.0,15.36,0.74,84.09091,1324.1211,12.75228709,638.8458516,1
13,2013,68.29065,24.8,16.86,0.89,80.180176,1060.7926,5.600744658,624.3154545,1
14,2014,89.5,26.1,18.93,1.0,86.2069,868.5762,2.724543364,614.2233424,1
15,2015,71.5,27.4,17.53,1.03,87.28814,970.0803,1.45131466,556.0072209,1
16,2016,97.7,28.6,19.92,1.06,87.603294,862.79114,2.260314201,512.0127781,1
17,2017,97.7,29.7,19.21,1.09,85.826775,829.31195,2.647003202,516.6798622,1
18,2018,96.616135,30.9,17.96,0.97,82.90598,924.25085,1.189228128,485.6684187,1
19,2019,97.7,31.9,18.51,0.89,83.17757,802.61255,3.911603419,494.1793499,1
20,2020,97.7,33.2,32.63816497829233,0.68,85.0,702.888,-2.351100673,516.7478708,1
21,2000,100.0,38.2,32.63816497829233,4.55,97.01493,9029.4375,6.946216585,1126.68334,2
22,2001,100.0,40.5,32.63816497829233,3.52,96.438354,8635.532,8.293312636,1281.659826,2
23,2002,100.0,43.2,32.63816497829233,3.48,95.60439,9443.555,4.536524157,1425.124219,2
24,2003,100.0,46.4,32.63816497829233,5.12,98.0843,10756.612,5.528637464,1846.120121,2
25,2004,100.0,49.0,32.63816497829233,5.41,97.65343,11586.951,5.51466791,2373.581292,2
26,2005,100.0,51.9,32.63816497829233,5.32,98.7013,11545.616,5.526424241,2673.786584,2
27,2006,100.0,54.8,32.63816497829233,4.95,98.21428,10976.728,5.902659038,2972.742924,2
28,2007,100.0,58.1,32.63816497829233,2.76,97.526505,9534.874,5.983259523,3595.038057,2
